Plate	Sample	Date	Cage Key	diet	infected	days_post_infection	campy
Plate1-A01	1.1	11/2/16	HC	HC	FALSE	0	0
Plate1-A02	1.2	11/2/16	HC	HC	FALSE	0	0
Plate1-A03	1.3	11/2/16	HC	HC	FALSE	0	0
Plate1-A04	1.4	11/2/16	HC	HC	FALSE	0	0
Plate1-A05	2.4	11/2/16	HC	HC	FALSE	0	0
Plate1-A06	3.1	11/2/16	HC+campy	HC	TRUE	0	0
Plate1-A07	3.2	11/2/16	HC+campy	HC	TRUE	0	0
Plate1-A08	3.3	11/2/16	HC+campy	HC	TRUE	0	0
Plate1-A09	3.4	11/2/16	HC+campy	HC	TRUE	0	0
Plate1-A10	4.1	11/2/16	HC+campy	HC	TRUE	0	0
Plate1-A11	4.2	11/2/16	HC+campy	HC	TRUE	0	0
Plate1-A12	4.3	11/2/16	HC+campy	HC	TRUE	0	0
Plate1-B01	4.4	11/2/16	HC+campy	HC	TRUE	0	0
Plate1-B02	5.1	11/2/16	dPD	dPD	FALSE	0	0
Plate1-B03	5.2	11/2/16	dPD	dPD	FALSE	0	0
Plate1-B04	5.3	11/2/16	dPD	dPD	FALSE	0	0
Plate1-B05	5.4	11/2/16	dPD	dPD	FALSE	0	0
Plate1-B06	6.1	11/2/16	dPD	dPD	FALSE	0	0
Plate1-B07	6.2	11/2/16	dPD	dPD	FALSE	0	0
Plate1-B08	6.3	11/2/16	dPD	dPD	FALSE	0	0
Plate1-B09	6.4	11/2/16	dPD	dPD	FALSE	0	0
Plate1-B10	7.1	11/2/16	dPD+campy	dPD	TRUE	0	0
Plate1-B11	7.2	11/2/16	dPD+campy	dPD	TRUE	0	0
Plate1-B12	7.3	11/2/16	dPD+campy	dPD	TRUE	0	0
Plate1-C01	7.4	11/2/16	dPD+campy	dPD	TRUE	0	0
Plate1-C02	8.1	11/2/16	dPD+campy	dPD	TRUE	0	0
Plate1-C03	8.2	11/2/16	dPD+campy	dPD	TRUE	0	0
Plate1-C04	8.3	11/2/16	dPD+campy	dPD	TRUE	0	0
Plate1-C05	8.4	11/2/16	dPD+campy	dPD	TRUE	0	0
Plate1-C06	9.1	11/2/16	dN	dN	FALSE	0	0
Plate1-C07	9.2	11/2/16	dN	dN	FALSE	0	0
Plate1-C08	9.3	11/2/16	dN	dN	FALSE	0	0
Plate1-C09	9.4	11/2/16	dN	dN	FALSE	0	0
Plate1-C10	10.1	11/2/16	dN	dN	FALSE	0	0
Plate1-C11	10.2	11/2/16	dN	dN	FALSE	0	0
Plate1-C12	10.4	11/2/16	dN	dN	FALSE	0	0
Plate1-D01	11.1	11/2/16	dN+campy	dN	TRUE	0	0
Plate1-D02	11.2	11/2/16	dN+campy	dN	TRUE	0	0
Plate1-D03	11.3	11/2/16	dN+campy	dN	TRUE	0	0
Plate1-D04	11.4	11/2/16	dN+campy	dN	TRUE	0	0
Plate1-D05	12.1	11/2/16	dN+campy	dN	TRUE	0	0
Plate1-D06	12.2	11/2/16	dN+campy	dN	TRUE	0	0
Plate1-D07	12.3	11/2/16	dN+campy	dN	TRUE	0	0
Plate1-D08	12.4	11/2/16	dN+campy	dN	TRUE	0	0
Plate1-D09	13.1	11/2/16	dZD	dZD	FALSE	0	0
Plate1-D10	13.2	11/2/16	dZD	dZD	FALSE	0	0
Plate1-D11	13.4	11/2/16	dZD	dZD	FALSE	0	0
Plate1-D12	14.1	11/2/16	dZD	dZD	FALSE	0	0
Plate1-E01	14.2	11/2/16	dZD	dZD	FALSE	0	0
Plate1-E02	14.3	11/2/16	dZD	dZD	FALSE	0	0
Plate1-E03	14.4	11/2/16	dZD	dZD	FALSE	0	0
Plate1-E04	15.1	11/2/16	dZD+campy	dZD	TRUE	0	0
Plate1-E05	15.2	11/2/16	dZD+campy	dZD	TRUE	0	0
Plate1-E06	15.3	11/2/16	dZD+campy	dZD	TRUE	0	0
Plate1-E07	15.4	11/2/16	dZD+campy	dZD	TRUE	0	0
Plate1-E08	16.1	11/2/16	dZD+campy	dZD	TRUE	0	0
Plate1-E09	16.2	11/2/16	dZD+campy	dZD	TRUE	0	0
Plate1-E10	16.3	11/2/16	dZD+campy	dZD	TRUE	0	0
Plate1-E11	16.4	11/2/16	dZD+campy	dZD	TRUE	0	0
Plate1-E12	1.1	11/3/16	HC	HC	FALSE	1	0
Plate1-F01	1.2	11/3/16	HC	HC	FALSE	1	0
Plate1-F02	1.3	11/3/16	HC	HC	FALSE	1	0
Plate1-F03	1.4	11/3/16	HC	HC	FALSE	1	0
Plate1-F04	2.1	11/3/16	HC	HC	FALSE	1	0
Plate1-F05	2.2	11/3/16	HC	HC	FALSE	1	0
Plate1-F06	2.3	11/3/16	HC	HC	FALSE	1	0
Plate1-F07	3.1	11/3/16	HC+campy	HC	TRUE	1	0
Plate1-F08	3.2	11/3/16	HC+campy	HC	TRUE	1	0
Plate1-F09	3.3	11/3/16	HC+campy	HC	TRUE	1	0
Plate1-F10	3.4	11/3/16	HC+campy	HC	TRUE	1	0
Plate1-F11	4.1	11/3/16	HC+campy	HC	TRUE	1	0
Plate1-F12	4.2	11/3/16	HC+campy	HC	TRUE	1	0
Plate1-G01	4.3	11/3/16	HC+campy	HC	TRUE	1	0
Plate1-G02	5.1	11/3/16	dPD	dPD	FALSE	1	0
Plate1-G03	5.2	11/3/16	dPD	dPD	FALSE	1	0
Plate1-G04	5.3	11/3/16	dPD	dPD	FALSE	1	0
Plate1-G05	5.4	11/3/16	dPD	dPD	FALSE	1	0
Plate1-G06	6.2	11/3/16	dPD	dPD	FALSE	1	0
Plate1-G07	6.1	11/3/16	dPD	dPD	FALSE	1	0
Plate1-G08	6.3	11/3/16	dPD	dPD	FALSE	1	0
Plate1-G09	6.4	11/3/16	dPD	dPD	FALSE	1	0
Plate1-G10	7.1	11/3/16	dPD+campy	dPD	TRUE	1	4102.85249
Plate1-G11	7.2	11/3/16	dPD+campy	dPD	TRUE	1	1946.66398
Plate1-G12	7.3	11/3/16	dPD+campy	dPD	TRUE	1	5250.57900
Plate1-H01	8.1	11/3/16	dPD+campy	dPD	TRUE	1	1676.44592
Plate1-H02	8.2	11/3/16	dPD+campy	dPD	TRUE	1	1985.49892
Plate1-H03	8.3	11/3/16	dPD+campy	dPD	TRUE	1	550.26312
Plate1-H04	8.4	11/3/16	dPD+campy	dPD	TRUE	1	2335.83363
Plate1-H05	9.1	11/3/16	dN	dN	FALSE	1	0
Plate1-H06	9.2	11/3/16	dN	dN	FALSE	1	0
Plate1-H07	9.3	11/3/16	dN	dN	FALSE	1	0
Plate1-H08	10.2	11/3/16	dN	dN	FALSE	1	0
Plate1-H09	10.4	11/3/16	dN	dN	FALSE	1	0
Plate1-H10	11.1	11/3/16	dN+campy	dN	TRUE	1	278.45337
Plate1-H11	11.2	11/3/16	dN+campy	dN	TRUE	1	1356.02888
Plate1-H12	11.3	11/3/16	dN+campy	dN	TRUE	1	1126.42630
Plate2-A01	11.4	11/3/16	dN+campy	dN	TRUE	1	4796.34795
Plate2-A02	12.1	11/3/16	dN+campy	dN	TRUE	1	511.57927
Plate2-A03	12.2	11/3/16	dN+campy	dN	TRUE	1	2477.10708
Plate2-A04	12.3	11/3/16	dN+campy	dN	TRUE	1	3472.63984
Plate2-A05	12.4	11/3/16	dN+campy	dN	TRUE	1	4063.93409
Plate2-A06	13.1	11/3/16	dZD	dZD	FALSE	1	0
Plate2-A07	13.2	11/3/16	dZD	dZD	FALSE	1	0
Plate2-A08	13.3	11/3/16	dZD	dZD	FALSE	1	0
Plate2-A09	13.4	11/3/16	dZD	dZD	FALSE	1	0
Plate2-A10	14.1	11/3/16	dZD	dZD	FALSE	1	0
Plate2-A11	14.2	11/3/16	dZD	dZD	FALSE	1	0
Plate2-A12	14.3	11/3/16	dZD	dZD	FALSE	1	0
Plate2-B01	15.1	11/3/16	dZD+campy	dZD	TRUE	1	1950.72393
Plate2-B02	15.2	11/3/16	dZD+campy	dZD	TRUE	1	599.73130
Plate2-B03	15.3	11/3/16	dZD+campy	dZD	TRUE	1	794.31999
Plate2-B04	15.4	11/3/16	dZD+campy	dZD	TRUE	1	200.81813
Plate2-B05	16.1	11/3/16	dZD+campy	dZD	TRUE	1	2025.03999
Plate2-B06	16.2	11/3/16	dZD+campy	dZD	TRUE	1	338.57479
Plate2-B07	16.3	11/3/16	dZD+campy	dZD	TRUE	1	0
Plate2-B08	1.1	11/7/16	HC	HC	FALSE	5	0
Plate2-B09	1.2	11/7/16	HC	HC	FALSE	5	0
Plate2-B10	1.3	11/7/16	HC	HC	FALSE	5	0
Plate2-B11	1.4	11/7/16	HC	HC	FALSE	5	0
Plate2-B12	2.1	11/7/16	HC	HC	FALSE	5	0
Plate2-C01	2.2	11/7/16	HC	HC	FALSE	5	0
Plate2-C02	2.3	11/7/16	HC	HC	FALSE	5	0
Plate2-C03	3.1	11/7/16	HC+campy	HC	TRUE	5	0
Plate2-C04	3.2	11/7/16	HC+campy	HC	TRUE	5	593.97550
Plate2-C05	3.3	11/7/16	HC+campy	HC	TRUE	5	380.94406
Plate2-C06	3.4	11/7/16	HC+campy	HC	TRUE	5	0
Plate2-C07	4.1	11/7/16	HC+campy	HC	TRUE	5	0
Plate2-C08	4.2	11/7/16	HC+campy	HC	TRUE	5	0
Plate2-C09	4.3	11/7/16	HC+campy	HC	TRUE	5	0
Plate2-C10	4.4	11/7/16	HC+campy	HC	TRUE	5	0
Plate2-C11	5.1	11/7/16	dPD	dPD	FALSE	5	0
Plate2-C12	5.3	11/7/16	dPD	dPD	FALSE	5	0
Plate2-D01	5.4	11/7/16	dPD	dPD	FALSE	5	0
Plate2-D02	6.3	11/7/16	dPD	dPD	FALSE	5	0
Plate2-D03	6.4	11/7/16	dPD	dPD	FALSE	5	0
Plate2-D04	7.3	11/7/16	dPD+campy	dPD	TRUE	5	212.29460
Plate2-D05	7.4	11/7/16	dPD+campy	dPD	TRUE	5	0
Plate2-D06	8.1	11/7/16	dPD+campy	dPD	TRUE	5	0
Plate2-D07	8.2	11/7/16	dPD+campy	dPD	TRUE	5	0
Plate2-D08	8.3	11/7/16	dPD+campy	dPD	TRUE	5	0
Plate2-D09	8.4	11/7/16	dPD+campy	dPD	TRUE	5	0
Plate2-D10	9.1	11/7/16	dN	dN	FALSE	5	0
Plate2-D11	9.3	11/7/16	dN	dN	FALSE	5	0
Plate2-D12	9.4	11/7/16	dN	dN	FALSE	5	0
Plate2-E01	11.1	11/7/16	dN+campy	dN	TRUE	5	0
Plate2-E02	11.2	11/7/16	dN+campy	dN	TRUE	5	0
Plate2-E03	11.3	11/7/16	dN+campy	dN	TRUE	5	662.59299
Plate2-E04	11.4	11/7/16	dN+campy	dN	TRUE	5	0
Plate2-E05	12.1	11/7/16	dN+campy	dN	TRUE	5	0
Plate2-E06	12.2	11/7/16	dN+campy	dN	TRUE	5	0
Plate2-E07	12.3	11/7/16	dN+campy	dN	TRUE	5	0
Plate2-E08	12.4	11/7/16	dN+campy	dN	TRUE	5	0
Plate2-E09	13.1	11/7/16	dZD	dZD	FALSE	5	0
Plate2-E10	13.3	11/7/16	dZD	dZD	FALSE	5	0
Plate2-E11	13.4	11/7/16	dZD	dZD	FALSE	5	0
Plate2-E12	15.1	11/7/16	dZD+campy	dZD	TRUE	5	0
Plate2-F01	15.2	11/7/16	dZD+campy	dZD	TRUE	5	0
Plate2-F02	15.3	11/7/16	dZD+campy	dZD	TRUE	5	0
Plate2-F03	15.4	11/7/16	dZD+campy	dZD	TRUE	5	0
Plate2-F04	16.1	11/7/16	dZD+campy	dZD	TRUE	5	0
Plate2-F05	16.2	11/7/16	dZD+campy	dZD	TRUE	5	0
Plate2-F06	16.3	11/7/16	dZD+campy	dZD	TRUE	5	0
Plate2-F07	16.4	11/7/16	dZD+campy	dZD	TRUE	5	333.88820
Plate2-F08	1.2	11/11/16	HC	HC	FALSE	9	0
Plate2-F09	1.3	11/11/16	HC	HC	FALSE	9	0
Plate2-F10	1.4	11/11/16	HC	HC	FALSE	9	0
Plate2-F11	2.1	11/11/16	HC	HC	FALSE	9	0
Plate2-F12	2.2	11/11/16	HC	HC	FALSE	9	0
Plate2-G01	2.3	11/11/16	HC	HC	FALSE	9	0
Plate2-G02	3.1	11/11/16	HC+campy	HC	TRUE	9	2689.13090
Plate2-G03	3.2	11/11/16	HC+campy	HC	TRUE	9	3148.30975
Plate2-G04	3.3	11/11/16	HC+campy	HC	TRUE	9	272.11272
Plate2-G05	3.4	11/11/16	HC+campy	HC	TRUE	9	0
Plate2-G06	4.1	11/11/16	HC+campy	HC	TRUE	9	922.27442
Plate2-G07	4.2	11/11/16	HC+campy	HC	TRUE	9	2479.78847
Plate2-G08	4.3	11/11/16	HC+campy	HC	TRUE	9	574.14061
Plate2-G09	4.4	11/11/16	HC+campy	HC	TRUE	9	854.35240
Plate2-G10	5.2	11/11/16	dPD	dPD	FALSE	9	0
Plate2-G11	5.3	11/11/16	dPD	dPD	FALSE	9	0
Plate2-G12	5.4	11/11/16	dPD	dPD	FALSE	9	0
Plate2-H01	6.1	11/11/16	dPD	dPD	FALSE	9	0
Plate2-H02	6.2	11/11/16	dPD	dPD	FALSE	9	0
Plate2-H03	6.3	11/11/16	dPD	dPD	FALSE	9	0
Plate2-H04	6.4	11/11/16	dPD	dPD	FALSE	9	0
Plate2-H05	7.1	11/11/16	dPD+campy	dPD	TRUE	9	424.60912
