""	"Sample"	"days_post_infection"	"plate_sample"	"Date"	"Cage.Key"	"diet"	"infected"	"campy"	"weight"	"Plate"	"Well"
"Plate1-A01"	"1.1"	" 0"	"Plate1-A01"	"11/2/16"	"HC"	"HC"	"FALSE"	"   0.00000"	"19.27"	"Plate1"	"A01"
"Plate1-A02"	"1.2"	" 0"	"Plate1-A02"	"11/2/16"	"HC"	"HC"	"FALSE"	"   0.00000"	"21.17"	"Plate1"	"A02"
"Plate1-A03"	"1.3"	" 0"	"Plate1-A03"	"11/2/16"	"HC"	"HC"	"FALSE"	"   0.00000"	"22.07"	"Plate1"	"A03"
"Plate1-A04"	"1.4"	" 0"	"Plate1-A04"	"11/2/16"	"HC"	"HC"	"FALSE"	"   0.00000"	"21.11"	"Plate1"	"A04"
"Plate1-A05"	"2.4"	" 0"	"Plate1-A05"	"11/2/16"	"HC"	"HC"	"FALSE"	"   0.00000"	NA	"Plate1"	"A05"
"Plate1-A06"	"3.1"	" 0"	"Plate1-A06"	"11/2/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	"19.62"	"Plate1"	"A06"
"Plate1-A07"	"3.2"	" 0"	"Plate1-A07"	"11/2/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	"22.00"	"Plate1"	"A07"
"Plate1-A08"	"3.3"	" 0"	"Plate1-A08"	"11/2/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	"18.54"	"Plate1"	"A08"
"Plate1-A09"	"3.4"	" 0"	"Plate1-A09"	"11/2/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	"22.93"	"Plate1"	"A09"
"Plate1-A10"	"4.1"	" 0"	"Plate1-A10"	"11/2/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	"19.68"	"Plate1"	"A10"
"Plate1-A11"	"4.2"	" 0"	"Plate1-A11"	"11/2/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	"22.00"	"Plate1"	"A11"
"Plate1-A12"	"4.3"	" 0"	"Plate1-A12"	"11/2/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	"19.43"	"Plate1"	"A12"
"Plate1-B01"	"4.4"	" 0"	"Plate1-B01"	"11/2/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	"19.54"	"Plate1"	"B01"
"Plate1-B02"	"5.1"	" 0"	"Plate1-B02"	"11/2/16"	"dPD"	"dPD"	"FALSE"	"   0.00000"	"17.27"	"Plate1"	"B02"
"Plate1-B03"	"5.2"	" 0"	"Plate1-B03"	"11/2/16"	"dPD"	"dPD"	"FALSE"	"   0.00000"	"19.24"	"Plate1"	"B03"
"Plate1-B04"	"5.3"	" 0"	"Plate1-B04"	"11/2/16"	"dPD"	"dPD"	"FALSE"	"   0.00000"	"17.12"	"Plate1"	"B04"
"Plate1-B05"	"5.4"	" 0"	"Plate1-B05"	"11/2/16"	"dPD"	"dPD"	"FALSE"	"   0.00000"	"17.32"	"Plate1"	"B05"
"Plate1-B06"	"6.1"	" 0"	"Plate1-B06"	"11/2/16"	"dPD"	"dPD"	"FALSE"	"   0.00000"	"18.18"	"Plate1"	"B06"
"Plate1-B07"	"6.2"	" 0"	"Plate1-B07"	"11/2/16"	"dPD"	"dPD"	"FALSE"	"   0.00000"	"21.12"	"Plate1"	"B07"
"Plate1-B08"	"6.3"	" 0"	"Plate1-B08"	"11/2/16"	"dPD"	"dPD"	"FALSE"	"   0.00000"	"19.48"	"Plate1"	"B08"
"Plate1-B09"	"6.4"	" 0"	"Plate1-B09"	"11/2/16"	"dPD"	"dPD"	"FALSE"	"   0.00000"	"20.75"	"Plate1"	"B09"
"Plate1-B10"	"7.1"	" 0"	"Plate1-B10"	"11/2/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	"17.07"	"Plate1"	"B10"
"Plate1-B11"	"7.2"	" 0"	"Plate1-B11"	"11/2/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	"18.83"	"Plate1"	"B11"
"Plate1-B12"	"7.3"	" 0"	"Plate1-B12"	"11/2/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	"18.16"	"Plate1"	"B12"
"Plate1-C01"	"7.4"	" 0"	"Plate1-C01"	"11/2/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	"20.56"	"Plate1"	"C01"
"Plate1-C02"	"8.1"	" 0"	"Plate1-C02"	"11/2/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	"18.52"	"Plate1"	"C02"
"Plate1-C03"	"8.2"	" 0"	"Plate1-C03"	"11/2/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	"15.55"	"Plate1"	"C03"
